"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Exports of goods and services (constant LCU)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Exports of goods and services (constant LCU)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Exports of goods and services (constant LCU)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Exports of goods and services (constant LCU)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (constant LCU)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84053518000","151929245900","379835000000","374897145000","423971181300","521187773100","595665505900","694307713700","768043192900","747686063000","729899118700","692498348200","728507324000","719955371000","725028409300","618526646400","504745424900","483713000000","489683000000","493707000000","462865000000",
"Albania","ALB","Exports of goods and services (constant LCU)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40438890403.681","33048910431.7924","44230506409.181","76561585442.2341","106329725308.665","122764227156.222","127125265299.053","142092042134.613","168356138498.989","209210881342.635","244624902611.199","291378105511.214","277900216022.006","290993584509.417","346845670000","369994480000","371080748077.057","376977204521.067","381323002595.654","385019368550.841","428682864105.087","485455287298.429","504998541775.482","518309243370.001","385741850000",
"Andorra","AND","Exports of goods and services (constant LCU)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (constant LCU)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Exports of goods and services (constant LCU)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","358268111900","369555021800","454220802100","565706502600","630662367900","703385588600","765509063800","860701835100","823698063600","875260000000","1015881234200","1193193029800","1265900203300","1288712931200","1355606821100","1401766298700","1366435326100","1523588992900","1478930303800","",
"Argentina","ARG","Exports of goods and services (constant LCU)","NE.EXP.GNFS.KN","11106878956.6402","9925263450.22935","14415300106.7166","14415300106.7166","13233726776.7659","14415300106.7166","16778462432.1603","16778462432.1603","15596896934.9808","18905322001.4428","19132205549.0132","17232196890.7546","17581939161.2477","20039646348.5618","20086887498.6223","18219980332.1627","23962491157.3372","30508509841.8436","33225985161.0178","32162587460.6123","30508509841.8436","32096144171.6116","33362835322.0707","34224465858.179","33337539588.4219","38522868445.7576","34566438421.3534","33362835322.0707","39608213169.2971","42551231627.9704","50215390648.0591","48395512400","47897186500","49805026600","57422988800","70359322800","75739555900","84962695500","93988616600","92804098800","95312028700","97924522600","100953284200","107005805300","115688425400","130596996600","137859761000","149115254900","150218520600","136177435600","155101896200","161536786600","154900352500","149447487800","139017297400","135156268600","142343006000","146065832100","147009411900","160390482900","132599868000",
