"digit","prop","ll","ul","obs"
"1",0.30864295,0.347,0.272,"Simulated"
"2",0.16821579,0.199,0.138,"Simulated"
"3",0.1255919,0.153,0.099,"Simulated"
"4",0.10288674,0.128,0.079,"Simulated"
"5",0.07825055,0.101,0.057,"Simulated"
"6",0.06432178,0.085,0.045,"Simulated"
"7",0.05773739,0.077,0.039,"Simulated"
"8",0.0500555,0.069,0.033,"Simulated"
"9",0.0442974,0.062,0.028,"Simulated"
"1",0.30864295,0.269725736711918,0.350480433181019,"Goodman"
"2",0.16821579,0.137974710352849,0.203520176378807,"Goodman"
"3",0.1255919,0.0993605836634409,0.157536999560651,"Goodman"
"4",0.10288674,0.0792058774557418,0.132627885649919,"Goodman"
"5",0.07825055,0.057789174188531,0.105148177944316,"Goodman"
"6",0.06432178,0.0459601397842639,0.0893322371204406,"Goodman"
"7",0.05773739,0.0404598716067432,0.0817642086398625,"Goodman"
"8",0.0500555,0.0341338326125457,0.0728436997511305,"Goodman"
"9",0.0442974,0.0294681585602186,0.0660810472634139,"Goodman"
